method	K_lo	K_hi	n	threshold
blast_nearest_wt	0	100	137709	116.0
blast_nearest_wt	100	200	143550	248.0
blast_nearest_wt	200	300	90925	373.0
blast_nearest_wt	300	400	20601	511.0
blast_nearest_wt	400	500	4181	629.0
blast_nearest_wt	500	600	2154	775.0
blast_nearest_wt	600	700	1195	874.1999999999998
blast_nearest_wt	700	800	750	1002.7499999999998
blast_nearest_wt	800	900	794	1131.0
blast_nearest_wt	900	1000	684	1278.0
blast_nearest_wt	1000	1100	678	1424.0
blast_nearest_wt	1100	1200	299	1597.1
capiti	0	100	137709	0.992920986
capiti	100	200	143550	0.99628325
capiti	200	300	90925	0.9927655280000001
capiti	300	400	20601	0.9760424
capiti	400	500	4181	0.9833692
capiti	500	600	2154	0.9947168835
capiti	600	700	1195	0.8237153899999996
capiti	700	800	750	0.03874644364999981
capiti	800	900	794	0.9883203975
capiti	900	1000	684	0.9875542
capiti	1000	1100	678	0.98624415
capiti	1100	1200	299	0.9897001900000001
kmer3_lr	0	100	137709	0.5759175637492314
kmer3_lr	100	200	143550	0.7818800862745645
kmer3_lr	200	300	90925	0.8029677868438707
kmer3_lr	300	400	20601	0.6852627335493333
kmer3_lr	400	500	4181	0.5433771225111014
kmer3_lr	500	600	2154	0.8251958972062524
kmer3_lr	600	700	1195	0.7800300431222496
kmer3_lr	700	800	750	0.016513417950015055
kmer3_lr	800	900	794	0.7657228938460575
kmer3_lr	900	1000	684	0.7550856715044588
kmer3_lr	1000	1100	678	0.764683501684401
kmer3_lr	1100	1200	299	0.9300701091299154
