method	K_lo	K_hi	n	threshold
blast_nearest_wt	0	100	32733	112.0
blast_nearest_wt	100	200	30703	238.0
blast_nearest_wt	200	300	19959	358.0
blast_nearest_wt	300	400	7332	509.4499999999998
blast_nearest_wt	400	500	4074	643.0
blast_nearest_wt	500	600	1562	783.0
blast_nearest_wt	600	700	453	779.8
blast_nearest_wt	700	800	265	576.0
blast_nearest_wt	800	900	352	632.45
blast_nearest_wt	900	1000	221	27.3
blast_nearest_wt	1000	1100	111	29.05
blast_nearest_wt	1100	1200	105	26.44
capiti	0	100	32733	0.984308476
capiti	100	200	30703	0.986925326
capiti	200	300	19959	0.983855845
capiti	300	400	7332	0.984096555
capiti	400	500	4074	0.9761846205
capiti	500	600	1562	0.0034393400150000077
capiti	600	700	453	0.0007001757660000006
capiti	700	800	265	0.042451299413999846
capiti	800	900	352	0.280076260999998
capiti	900	1000	221	0.00010740757
capiti	1000	1100	111	0.000104129315
capiti	1100	1200	105	9.5582011e-05
kmer3_lr	0	100	32733	0.6503485992531621
kmer3_lr	100	200	30703	0.7293833856466213
kmer3_lr	200	300	19959	0.8085852190788091
kmer3_lr	300	400	7332	0.8056948156081352
kmer3_lr	400	500	4074	0.7905183932769031
kmer3_lr	500	600	1562	0.128471341543262
kmer3_lr	600	700	453	0.6432608864054709
kmer3_lr	700	800	265	0.8777491709476615
kmer3_lr	800	900	352	0.8996938527901079
kmer3_lr	900	1000	221	0.1006938579401896
kmer3_lr	1000	1100	111	0.16145707610567625
kmer3_lr	1100	1200	105	0.0214749617523202
