method	K_lo	K_hi	n	threshold
blast_nearest_wt	0	100	6197	115.0
blast_nearest_wt	100	200	7023	247.0
blast_nearest_wt	200	300	3720	364.0
blast_nearest_wt	300	400	1629	486.0
blast_nearest_wt	400	500	582	643.95
blast_nearest_wt	500	600	562	753.95
blast_nearest_wt	600	700	358	919.15
blast_nearest_wt	700	800	19	45.44999999999995
capiti	0	100	6197	0.24237703199999971
capiti	100	200	7023	0.5832860499999986
capiti	200	300	3720	0.07408496549999999
capiti	300	400	1629	0.01119874699999996
capiti	400	500	582	0.014092650599999987
capiti	500	600	562	0.020137521949999997
capiti	600	700	358	0.0194143560499999
capiti	700	800	19	0.00034190417
kmer3_lr	0	100	6197	0.2119142057776363
kmer3_lr	100	200	7023	0.5368206075154482
kmer3_lr	200	300	3720	0.583561505250306
kmer3_lr	300	400	1629	0.685714096502168
kmer3_lr	400	500	582	0.1911176087500763
kmer3_lr	500	600	562	0.5418054191031029
kmer3_lr	600	700	358	0.4932555510507767
kmer3_lr	700	800	19	0.05619408873021231
