# target_id	pdb_id	chain
T-C1	1E4E	A
T-C2	1OKR	A
T-C3	1NKI	A
T-C6	6O9S	A
T-C7	5ENQ	A
T-C8	1BL0	A
T-C9	6NVM	A
T-C10	1VF7	A
T-C11	3W9I	A
T-C12	3D5K	A
T-C13	3D40	A
T-C14	4TZE	A
T-C15	8F4N	A
T-C16	3ECH	A
T-C17	3ECH	A
T-C18	1A7T	A
T-C19	5XP6	A
T-C20	7F8A	A
T-C21	5WCK	A
T-C22	3ECO	A
T-C23	5AZS	A
T-C24	5AZP	A
T-C25	6L33	A
T-C26	8KE8	A
T-C27	5DAJ	A
T-C28	9ILW	A
T-C29	5ACS	A
T-C30	7BJ9	A
T-C31	4AX1	B
T-C32	6K4X	A
T-C33	5NGG	A
T-C34	3FRH	A
T-C35	3LCV	B
T-C36	1M40	A
T-C37	1M40	A
T-C38	1M40	A
T-C39	1M40	A
T-C40	1M40	A
T-C41	1HTZ	A
T-C42	4OP5	A
T-C43	3P98	A
T-C44	4OQI	A
T-C45	5NPO	B
T-C46	2Z2N	A
T-C47	2QC5	A
T-C48	1K38	A
T-C49	3QNC	A
T-C50	9IXO	A
T-C51	1H8Z	A
T-C52	4JF5	A
T-C53	5TG4	A
T-C54	4X55	A
T-C55	5WI3	A
T-C56	5FDH	A
T-C57	4Z9Q	A
T-C58	5KZH	A
T-C59	6T1H	A
T-C60	8SQ7	A
T-C61	8SQ8	A
T-C62	5IY2	A
T-C63	4X56	A
T-C64	6NZ8	A
T-C65	5HFO	A
T-C66	4K0W	A=31-219, A=221-274
T-C67	8PEB	A
T-C68	4S2L	A
T-C69	5OE0	A
T-C70	5OE2	A
T-C71	4YIN	A
T-C72	6NLW	A
T-C73	6KBY	A
T-C74	2ZC7	A
T-C75	7U48	A
T-C76	2P74	A
T-C77	6MZ2	A
T-C78	4HBT	A
T-C79	1YLW	A
T-C80	1YLP	A
T-C81	2ZQ7	A
T-C82	8EHH	A
T-C83	6BN3	A
T-C84	1ZC2	A
T-C85	1ZKJ	A
T-C86	8JB7	A
T-C87	6G9T	A
T-C88	5CHU	A
T-C89	3W8K	A
T-C90	4F6H	A
T-C91	4UBQ	A
T-C93	5B3R	A
T-C94	3L6N	A
T-C95	8PGP	A
T-C96	6TM9	A
T-C97	2WHG	A
T-C98	5NAI	A
T-C99	4D1T	A
T-C100	5MM9	A
T-C101	4UWO	B
T-C102	7YRP	A
T-C103	9CV4	A
T-C104	5LL7	A
T-C105	2QPN	A
T-C106	4QU3	A
T-C107	3V3R	A
T-C108	3TSG	A
T-C109	3V3S	A
T-C110	6MH0	A
T-C111	4TYF	A
T-C112	4TZB	A
T-C113	4TZF	A
T-C114	5WIH	A
T-C115	1E25	A
T-C116	9IVL	A
T-C117	9IVL	A
T-C118	5EOO	A
T-C119	3BYD	A
T-C120	3BYD	A
T-C121	8EO5	A
T-C122	6S1S	A
T-C123	5AEB	A
T-C124	7JZS	A
T-C125	1M4I	A
T-C126	7CSI	A
T-C127	4YFJ	A
T-C128	7LAO	A
T-C129	7Q1D	A
T-C130	6MN3	A
T-C131	6NP3	A
T-C132	7LAP	A
T-C133	4EVY	A
T-C134	4E8O	A
T-C135	1N71	A
T-C136	1S3Z	A
T-C137	2PRB	A
T-C138	5BYL	A
T-C139	2PBE	A
T-C140	4DCA	A
T-C141	6CTZ	A
T-C142	6CD7	A
T-C143	1ND4	A
T-C144	3TM0	A
T-C145	3W0O	A
T-C146	6IY9	A
T-C147	3I1A	A
T-C148	3P2E	A
T-C149	6PI9	A
T-C151	4HUR	A
T-C152	5VB0	A
T-C153	7N7G	A
T-C154	6DJA	A
T-C155	4FU0	A
T-C156	8DVQ	A
T-C157	8DX0	A
T-C158	1R44	A
T-C159	5ZHF	A
T-C160	4MUR	A
T-C161	4ECL	A
T-C162	2WAD	A
T-C163	4MUQ	A
T-C164	6HUH	A
T-C165	7ODA	A
T-C166	6PQ9	A
T-C167	5GS8	A
T-C168	1JGS	A
T-C169	2ZHG	A
T-C170	5O9C	A
T-C171	2ZFG	A
T-C173	5KYG	A
T-C174	7CFE	A
T-C175	7W5X	K
T-C176	3BFF	A
T-C177	1BUE	A
T-C178	3SY7	A
T-C179	8WRF	A
T-C180	6MK6	A
T-C181	3KQJ	A
T-C182	5NDE	A
T-C183	3BCG	A
